Sw_ReqId,Verfication File Name,Verification File Version,PIL Test case #,PIL Test Vector #,PIL  Test Status,PIL Comments
.SwReqId, .PILSpecName, .PILSpecVer, .PILTestCase, .PILTestVector, .PILTestStatus, .PILComments
ES050A_645,DigMSB_PIL.pdbx,2,"TC_ES050A_645_B_1, 
TC_ES050A_645_B_2, 
TC_ES050A_645_B_3 ","TV_645_B_TC1_17 - TV_645_B_TC1_21,TV_645_B_TC2_14 - TV_645_B_TC2_16,TV_645_B_TC3_22 - TV_645_B_TC3_24, ",PASS,11 out of 11 Passed
ES050A_644,DigMSB_PIL.pdbx,2,"TC_ES050A_645_B_1, 
TC_ES050A_645_B_2, 
TC_ES050A_645_B_3 ","TV_645_B_TC1_17 - TV_645_B_TC1_21,TV_645_B_TC2_14 - TV_645_B_TC2_16,TV_645_B_TC3_22 - TV_645_B_TC3_24",PASS,11 out of 11 Passed
ES050A_647,DigMSB_PIL.pdbx,2,"TC_ES050A_647_B_1, 
TC_ES050A_647_B_2 ","TV_647_B_TC2_14 - TV_647_B_TC2_16,TV_647_B_TC3_22 - TV_647_B_TC3_24, ",PASS,8 out of 8 Passed
ES050A_646,DigMSB_PIL.pdbx,2,TC_ES050A_646_P_1 ,TV_646_P_TC1_7,PASS,1 out of 1 Passed
ES050A_510,DigMSB_PIL.pdbx,2,TC_ES050A_646_P_1 ,TV_646_P_TC1_1,PASS,1 out of 1 Passed
ES050A_648,DigMSB_PIL.pdbx,2,TC_ES050A_648_B_1,"TV_648_B_TC1_14 - TV_648_B_TC1_20,TV_648_B_TC1_30 - TV_648_B_TC1_32",PASS,10 out of 10 Passed
ES050A_432,DigMSB_PIL.pdbx,2,"TC_ES050A_432_P_1,
TC_ES050A_432_P_2, 
TC_ES050A_432_P_3 ","TV_432_P_TC1_1,TV_432_P_TC1_2,TV_432_P_TC1_3",PASS,3 out of 3 Passed
ES050A_430,DigMSB_PIL.pdbx,2,TC_ES050A_430_P_1 ,TV_430_P_TC1_12 - TV_430_P_TC1_14,PASS,3 out of 3 Passed
ES050A_656,DigMSB_PIL.pdbx,2,TC_ES050A_430_P_1 ,TV_430_P_TC1_12 - TV_430_P_TC1_14,PASS,3 out of 3 Passed
ES050A_623,DigMSB_PIL.pdbx,2,TC_ES050A_623_B_1,TV_623_B_TC1_29 - TV_623_B_TC1_30,PASS,2 out of 2 Passed
ES050A_622,DigMSB_PIL.pdbx,2,TC_ES050A_622_B_1,TV_622_B_TC1_1 - TV_622_B_TC1_9,PASS,9 out of 9 Passed
